TargetID	ProbeID	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	 Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval
NEGATIVE	1010167	53.82441	0.8531073	56.8289	0.4689265	63.41109	0.4350283	59.59251	0.4872881	55.63935	0.7768362	67.99382	0.3135593	55.03181	0.8149717	59.70513	0.4943503
NEGATIVE	1010192	57.64297	0.6186441	46.68002	0.9816384	54.11775	0.9463277	58.46529	0.5748588	52.91	0.8940678	60.55954	0.7556497	61.16615	0.4039548	59.40023	0.5112994
NEGATIVE	1010324	55.16117	0.7725989	58.50099	0.3714689	59.6844	0.6638418	55.21675	0.8008475	62.01212	0.3502825	62.01944	0.6723164	58.16861	0.6299435	57.98505	0.6186441
NEGATIVE	1030050	56.43671	0.6892655	58.70866	0.3573446	60.65273	0.6059322	57.55049	0.6440678	62.52731	0.3079096	63.37964	0.5903955	63.60011	0.2641243	56.849	0.6850283
NEGATIVE	1030196	58.00417	0.5819209	54.3329	0.6638418	57.1237	0.8262712	57.55093	0.6426554	64.68678	0.200565	61.14477	0.7217514	68.44196	0.1073446	55.00265	0.8008475
NEGATIVE	1030458	53.74463	0.8573446	52.38034	0.7853107	63.03471	0.460452	53.07992	0.8827683	55.83692	0.7627119	64.73994	0.4915254	49.76335	0.9675141	69.97794	0.07627118
NEGATIVE	1030722	57.52071	0.6285311	56.58632	0.4915254	65.55638	0.3375706	65.29745	0.1850283	68.091	0.09463277	67.80747	0.3206215	70.12894	0.07344633	62.64331	0.3248588
NEGATIVE	1050255	52.92649	0.8855932	62.08443	0.1878531	59.81765	0.6553673	59.18771	0.5169492	54.47618	0.8361582	61.38795	0.7076271	55.09634	0.8079096	57.43832	0.6483051
NEGATIVE	1050332	59.4003	0.4774011	62.69893	0.1567797	62.54107	0.490113	62.5482	0.3206215	55.10318	0.8022599	60.45699	0.7584746	55.95334	0.759887	58.21888	0.6002825
NEGATIVE	1050647	56.36781	0.6977401	57.28978	0.450565	57.28084	0.8163842	53.70346	0.8587571	61.28731	0.3870057	63.34067	0.5932204	58.26982	0.6214689	54.38792	0.8262712
NEGATIVE	1050739	60.50351	0.3968927	64.96152	0.08615819	75.22452	0.03531073	68.2295	0.08898305	66.97491	0.1271186	71.63021	0.1765537	63.26566	0.2881356	69.07441	0.09039548
NEGATIVE	1070039	54.57243	0.8093221	47.80368	0.9590396	68.21944	0.1892655	59.93237	0.4632768	60.23483	0.4548023	65.31777	0.4491525	53.53675	0.8841808	56.20425	0.7231638
NEGATIVE	1070608	55.2104	0.7683616	61.92983	0.1963277	57.33791	0.8121469	57.62715	0.6355932	57.67603	0.6412429	64.73142	0.4929379	57.57521	0.6666667	54.94923	0.8036723
NEGATIVE	1090075	54.65788	0.799435	65.98587	0.07062147	61.57693	0.5508475	64.13306	0.2372881	61.28453	0.3884181	59.79928	0.7909604	58.75259	0.5819209	53.79549	0.8644068
NEGATIVE	1090441	60.69959	0.3855932	54.20459	0.6723164	63.152	0.4548023	58.58518	0.5607345	57.31219	0.6723164	58.47737	0.8375706	55.0759	0.8093221	55.80541	0.7471752
NEGATIVE	1090468	51.60252	0.9293785	55.86934	0.5480226	58.50229	0.7570621	56.44464	0.7288136	59.53321	0.5084746	68.53246	0.2881356	55.53183	0.7838983	60.98923	0.4039548
