PROBE_ID	SYMBOL	Patient 1-Tumor.AVG_Signal	Patient 1-Tumor.Detection Pval	Patient 2-Tumor.AVG_Signal	Patient 2-Tumor.Detection Pval	Patient 3-Tumor.AVG_Signal	Patient 3-Tumor.Detection Pval	Patient 4-Tumor.AVG_Signal	Patient 4-Tumor.Detection Pval	Patient 1-Adjacent.AVG_Signal	Patient 1-Adjacent.Detection Pval	Patient 2-Adjacent.AVG_Signal	Patient 2-Adjacent.Detection Pval	Patient 3-Adjacent.AVG_Signal	Patient 3-Adjacent.Detection Pval	Patient 4-Adjacent.AVG_Signal	Patient 4-Adjacent.Detection Pval						
ILMN_1767349	ABCB4	55.09664	0.7782486	51.87314	0.8093221	63.94123	0.4039548	51.87048	0.9180791	60.16549	0.4576271	63.37062	0.5918079	58.15583	0.6299435	57.72841	0.6285311						
ILMN_1749902	ABCB5	61.0476	0.3658192	62.58508	0.1624294	67.5502	0.220339	62.59412	0.3177966	71.95491	0.04237288	64.70504	0.4957627	61.09365	0.4138418	68.12421	0.1186441						
ILMN_1653933	ABCB6	583.5047	0	584.576	0	761.7535	0	607.3208	0	111.2589	0	126.0557	0	101.1533	0	117.9597	0						
ILMN_1687840	ABCB7	339.3513	0	358.1339	0	488.2589	0	368.4351	0	279.7069	0	325.7239	0	245.6613	0	312.3098	0						
ILMN_1806676	ABCB8	99.09229	0	85.57209	0	102.7279	0	84.3924	0.001412429	78.46279	0.01129944	93.1767	0.004237288	77.75271	0.01271186	72.10944	0.04943503						
ILMN_1788928	ABCB9	68.18822	0.08757062	65.64333	0.07344633	59.09891	0.7132769	60.1867	0.4392655	63.57963	0.2415254	61.83315	0.6850283	64.01956	0.240113	63.62651	0.2782486						
ILMN_1666722	ABCB9	61.7388	0.319209	61.03114	0.2415254	72.90351	0.07062147	61.64061	0.3672316	65.44526	0.1836158	66.86594	0.3714689	64.97284	0.200565	59.33255	0.5155367						
ILMN_1802404	ABCC1	87.1153	0.001412429	85.9314	0	91.95816	0.002824859	77.7977	0.004237288	79.48389	0.009887005	94.62877	0.004237288	76.80721	0.01553672	79.78941	0.002824859						
ILMN_1776119	ABCC10	225.69	0	194.558	0	274.3551	0	222.869	0	122.1544	0	140.9535	0	121.7188	0	132.2652	0						
ILMN_1716604	ABCC11	70.69539	0.05367232	65.8065	0.07062147	87.72974	0.004237288	75.63804	0.007062147	70.60504	0.05367232	78.95496	0.03389831	80.74559	0.007062147	76.34917	0.01553672						
ILMN_1732140	ABCC11	77.81786	0.01129944	68.98286	0.03389831	73.76337	0.05649718	69.36652	0.05932203	72.19126	0.03813559	80.99126	0.01836158	79.34966	0.009887005	85.21425	0.002824859						
ILMN_1762093	ABCC12	55.99514	0.7189265	58.96125	0.3474576	57.53306	0.7980226	54.19369	0.8389831	61.98298	0.3545198	66.44255	0.3926554	63.48009	0.2740113	65.26519	0.2033898						
ILMN_1709092	ABCC13	56.59251	0.6765537	50.75126	0.8700565	59.19338	0.7062147	52.2123	0.9124294	61.75384	0.3686441	70.56306	0.1963277	59.99253	0.4957627	47.47735	0.9872881						
